Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"26.07.2026 00:00"
Zeitbezug:;MEZ
Messstellen-Name:;"POING D 83"
Messstellen-Nr.:;16268
Ostwert:;709055;Nordwert:;5338451;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2026-07-01;510,45;Rohdaten
2026-07-02;510,47;Rohdaten
2026-07-03;510,46;Rohdaten
2026-07-04;510,45;Rohdaten
2026-07-05;510,45;Rohdaten
2026-07-06;510,46;Rohdaten
2026-07-07;510,45;Rohdaten
2026-07-08;510,44;Rohdaten
2026-07-09;510,43;Rohdaten
2026-07-10;510,42;Rohdaten
2026-07-11;510,41;Rohdaten
2026-07-12;510,40;Rohdaten
2026-07-13;510,39;Rohdaten
2026-07-14;510,38;Rohdaten
2026-07-15;510,38;Rohdaten
2026-07-16;510,37;Rohdaten
2026-07-17;510,37;Rohdaten
2026-07-18;510,36;Rohdaten
2026-07-19;510,36;Rohdaten
2026-07-20;510,35;Rohdaten
2026-07-21;510,34;Rohdaten
2026-07-22;510,33;Rohdaten
2026-07-23;510,32;Rohdaten
2026-07-24;510,30;Rohdaten
