date,value_m_u_nn,quality
2018-01-01,510.950,official
2018-01-02,510.950,official
2018-01-03,510.980,official
2018-01-04,511.020,official
2018-01-05,511.080,official
2018-01-06,511.140,official
2018-01-07,511.200,official
2018-01-08,511.230,official
2018-01-09,511.240,official
2018-01-10,511.250,official
2018-01-11,511.250,official
2018-01-12,511.250,official
2018-01-13,511.250,official
2018-01-14,511.240,official
2018-01-15,511.240,official
2018-01-16,511.250,official
2018-01-17,511.260,official
2018-01-18,511.250,official
2018-01-19,511.270,official
2018-01-20,511.260,official
2018-01-21,511.270,official
2018-01-22,511.280,official
2018-01-23,511.320,official
2018-01-24,511.340,official
2018-01-25,511.390,official
2018-01-26,511.420,official
2018-01-27,511.440,official
2018-01-28,511.450,official
2018-01-29,511.450,official
2018-01-30,511.450,official
2018-01-31,511.450,official
2018-02-01,511.450,official
2018-02-02,511.450,official
2018-02-03,511.440,official
2018-02-04,511.430,official
2018-02-05,511.420,official
2018-02-06,511.420,official
2018-02-07,511.410,official
2018-02-08,511.400,official
2018-02-09,511.400,official
2018-02-10,511.390,official
2018-02-11,511.380,official
2018-02-12,511.380,official
2018-02-13,511.370,official
2018-02-14,511.370,official
2018-02-15,511.360,official
2018-02-16,511.370,official
2018-02-17,511.370,official
2018-02-18,511.360,official
2018-02-19,511.360,official
2018-02-20,511.360,official
2018-02-21,511.360,official
2018-02-22,511.360,official
2018-02-23,511.360,official
2018-02-24,511.360,official
2018-02-25,511.360,official
2018-02-26,511.350,official
2018-02-27,511.350,official
2018-02-28,511.340,official
2018-03-01,511.340,official
2018-03-02,511.340,official
2018-03-03,511.330,official
2018-03-04,511.330,official
2018-03-05,511.330,official
2018-03-06,511.320,official
2018-03-07,511.320,official
2018-03-08,511.310,official
2018-03-09,511.310,official
2018-03-10,511.310,official
2018-03-11,511.307,interpolated
2018-03-12,511.303,interpolated
2018-03-13,511.300,official
2018-03-14,511.290,official
2018-03-15,511.290,official
2018-03-16,511.290,official
2018-03-17,511.280,official
2018-03-18,511.280,official
2018-03-19,511.280,official
2018-03-20,511.270,official
2018-03-21,511.270,official
